participant_id,story_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,model_short,model_full,strategy
4,27,5,4,5,4,4,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
6,27,2,2,2,3,3,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
7,27,1,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
2,28,4,4,4,4,5,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,28,4,4,3,4,3,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,28,5,5,4,5,4,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,28,4,2,3,3,2,3,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,28,3,2,1,1,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,29,4,5,5,4,5,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
3,29,1,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
4,29,4,4,3,3,3,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
6,29,2,1,2,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
7,29,2,2,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
2,30,4,4,4,4,5,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
3,30,3,2,3,3,4,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
4,30,4,4,4,4,4,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
6,30,3,3,4,3,2,3,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
7,30,2,2,2,1,2,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
2,31,2,1,4,1,4,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,31,2,1,3,2,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,31,5,4,5,4,5,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,31,2,2,2,1,2,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,31,4,2,4,2,2,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,32,4,5,4,4,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,32,1,2,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,32,5,5,5,5,5,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,32,5,5,4,5,3,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,32,1,3,1,3,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,33,5,5,5,4,4,5,GPT-4,gpt-4,plan_write
3,33,2,1,1,2,4,1,GPT-4,gpt-4,plan_write
4,33,5,5,5,5,5,5,GPT-4,gpt-4,plan_write
6,33,5,4,5,4,4,5,GPT-4,gpt-4,plan_write
7,33,4,2,2,3,3,3,GPT-4,gpt-4,plan_write
2,34,5,5,5,4,2,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,34,5,3,4,4,4,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,34,5,4,5,5,4,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,34,2,3,2,3,2,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,34,3,5,1,2,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,35,4,4,4,1,2,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,35,4,4,5,5,3,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,35,5,4,4,5,4,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,35,4,5,5,5,4,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,35,4,3,1,2,1,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,36,1,2,1,1,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,36,3,1,1,2,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,36,4,4,5,4,3,3,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,36,2,2,1,2,2,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,36,2,2,1,1,2,3,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,37,1,1,2,1,4,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
3,37,5,5,4,3,3,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
4,37,5,3,4,4,4,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
6,37,3,3,5,3,3,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
7,37,4,1,4,2,5,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
2,38,2,2,2,2,5,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,38,4,4,3,4,4,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,38,5,4,4,4,3,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,38,2,4,2,4,2,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,38,5,4,5,2,5,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,39,4,4,5,2,4,5,GPT-4,gpt-4,writer_profile
3,39,3,3,2,3,2,1,GPT-4,gpt-4,writer_profile
4,39,4,5,4,4,4,4,GPT-4,gpt-4,writer_profile
6,39,2,1,3,1,2,2,GPT-4,gpt-4,writer_profile
7,39,5,4,5,5,5,5,GPT-4,gpt-4,writer_profile
2,40,4,4,2,4,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,40,3,3,2,3,2,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,40,4,4,3,3,4,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,40,4,4,3,4,3,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,40,5,4,4,5,4,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,41,2,2,4,4,5,5,GPT-4,gpt-4,writer_profile
3,41,4,5,4,5,4,4,GPT-4,gpt-4,writer_profile
4,41,4,5,4,3,4,5,GPT-4,gpt-4,writer_profile
6,41,3,2,3,3,4,1,GPT-4,gpt-4,writer_profile
7,41,5,5,4,5,4,5,GPT-4,gpt-4,writer_profile
2,42,2,5,4,4,2,5,GPT-4,gpt-4,plan_write
3,42,5,5,4,4,4,5,GPT-4,gpt-4,plan_write
4,42,5,4,4,3,4,5,GPT-4,gpt-4,plan_write
6,42,4,4,3,5,3,2,GPT-4,gpt-4,plan_write
7,42,5,5,4,5,4,5,GPT-4,gpt-4,plan_write
2,43,2,4,5,5,4,5,GPT-4,gpt-4,writer_profile
3,43,3,4,3,3,2,4,GPT-4,gpt-4,writer_profile
4,43,5,4,5,4,5,5,GPT-4,gpt-4,writer_profile
6,43,4,5,4,3,4,2,GPT-4,gpt-4,writer_profile
7,43,5,4,4,4,4,5,GPT-4,gpt-4,writer_profile
2,44,2,4,2,2,1,4,GPT-4,gpt-4,plan_write
3,44,3,3,4,5,2,3,GPT-4,gpt-4,plan_write
4,44,5,5,5,4,5,5,GPT-4,gpt-4,plan_write
6,44,3,3,1,2,3,1,GPT-4,gpt-4,plan_write
7,44,5,5,4,5,4,5,GPT-4,gpt-4,plan_write
2,45,2,2,2,2,4,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,45,3,2,2,3,3,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,45,3,3,4,2,4,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,45,2,2,3,2,4,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,45,5,4,4,4,4,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,46,2,1,4,1,1,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,46,4,3,2,4,1,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,46,1,1,2,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,46,2,1,2,2,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,46,5,4,4,4,3,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,47,4,1,4,1,4,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,47,4,2,3,2,3,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,47,2,1,2,1,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,47,3,4,3,3,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,47,5,4,3,4,4,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,48,1,2,2,2,3,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,48,3,2,2,2,2,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,48,1,2,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,48,1,1,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,48,5,4,4,4,4,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,49,4,1,1,1,4,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
3,49,3,3,2,4,2,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
4,49,2,2,2,1,4,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
6,49,4,4,1,2,4,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
7,49,4,4,3,4,4,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
2,50,2,4,5,4,5,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,50,3,3,4,4,3,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,50,5,5,5,5,5,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,50,5,4,5,4,4,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,50,4,4,5,5,4,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,51,3,4,2,2,4,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,51,3,3,2,2,1,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,51,3,2,2,2,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,51,3,2,1,3,2,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,51,3,4,4,3,3,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,52,5,5,5,5,2,5,Human-Advanced,Human-Advanced,
3,52,4,5,4,5,4,5,Human-Advanced,Human-Advanced,
4,52,5,5,4,5,5,5,Human-Advanced,Human-Advanced,
6,52,4,3,4,4,2,4,Human-Advanced,Human-Advanced,
7,52,4,5,4,4,3,4,Human-Advanced,Human-Advanced,
2,53,2,2,2,2,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,53,2,2,2,2,3,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,53,1,1,1,1,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,53,3,2,2,3,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,53,4,3,4,4,3,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,54,2,1,5,4,2,5,Human-Advanced,Human-Advanced,
3,54,3,3,4,4,2,4,Human-Advanced,Human-Advanced,
4,54,3,2,3,2,2,3,Human-Advanced,Human-Advanced,
6,54,3,1,2,2,2,4,Human-Advanced,Human-Advanced,
7,54,4,3,3,5,4,4,Human-Advanced,Human-Advanced,
2,55,2,2,4,2,5,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,55,2,2,3,2,3,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,55,1,1,1,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,55,4,4,3,3,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,55,4,4,3,3,3,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,56,1,4,2,2,4,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,56,3,4,3,3,3,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,56,1,2,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,56,4,3,1,2,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,56,5,4,4,4,3,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,57,2,1,1,1,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,57,1,3,2,2,3,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,57,1,1,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,57,3,2,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,57,4,3,5,4,3,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,58,1,2,2,2,2,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,58,3,3,3,2,2,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,58,3,1,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,58,4,2,3,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,58,5,3,4,4,5,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,59,1,1,5,1,4,2,GPT-4,gpt-4,plan_write
3,59,3,4,4,3,4,4,GPT-4,gpt-4,plan_write
4,59,4,3,5,3,5,5,GPT-4,gpt-4,plan_write
6,59,4,1,3,2,5,3,GPT-4,gpt-4,plan_write
